id,privacy_api_class,privacy_api_method,privacy_api,description
253,android.telephony.TelephonyManager,getDataNetworkType,Landroid/telephony/TelephonyManager;.getDataNetworkType:()I,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
254,android.telecom.TelecomManager,getDefaultOutgoingPhoneAccount,Landroid/telecom/TelecomManager;.getDefaultOutgoingPhoneAccount:(Ljava/lang/String;)Landroid/telecom/PhoneAccountHandle;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
255,android.telephony.TelephonyManager,getDeviceId,Landroid/telephony/TelephonyManager;.getDeviceId:()Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
256,android.telephony.TelephonyManager,getDeviceId,Landroid/telephony/TelephonyManager;.getDeviceId:(I)Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
257,android.bluetooth.BluetoothHearingAid,getDevicesMatchingConnectionStates,Landroid/bluetooth/BluetoothHearingAid;.getDevicesMatchingConnectionStates:([I)Ljava/util/List;,
258,android.bluetooth.BluetoothHeadsetClient,getDevicesMatchingConnectionStates,,Required to be able to connect to paired Bluetooth devices.
259,android.bluetooth.BluetoothA2dp,getDevicesMatchingConnectionStates,Landroid/bluetooth/BluetoothA2dp;.getDevicesMatchingConnectionStates:([I)Ljava/util/List;,Required to be able to connect to paired Bluetooth devices.
260,android.bluetooth.BluetoothHeadset,getDevicesMatchingConnectionStates,Landroid/bluetooth/BluetoothHeadset;.getDevicesMatchingConnectionStates:([I)Ljava/util/List;,Required to be able to connect to paired Bluetooth devices.
261,android.bluetooth.BluetoothAvrcpController,getDevicesMatchingConnectionStates,,Required to be able to connect to paired Bluetooth devices.
262,android.bluetooth.BluetoothSap,getDevicesMatchingConnectionStates,,Required to be able to connect to paired Bluetooth devices.
263,android.bluetooth.BluetoothManager,getDevicesMatchingConnectionStates,Landroid/bluetooth/BluetoothManager;.getDevicesMatchingConnectionStates:(I[I)Ljava/util/List;,Required to be able to connect to paired Bluetooth devices.
264,android.bluetooth.BluetoothHealth,getDevicesMatchingConnectionStates,Landroid/bluetooth/BluetoothHealth;.getDevicesMatchingConnectionStates:([I)Ljava/util/List;,Required to be able to connect to paired Bluetooth devices.
265,android.bluetooth.BluetoothMap,getDevicesMatchingConnectionStates,,Required to be able to connect to paired Bluetooth devices.
266,android.bluetooth.BluetoothHidDevice,getDevicesMatchingConnectionStates,Landroid/bluetooth/BluetoothHidDevice;.getDevicesMatchingConnectionStates:([I)Ljava/util/List;,Required to be able to connect to paired Bluetooth devices.
